,user,type
1,"""Education offers Republicans a chance to compete on Democratic turf...Today, though, Repub. candidates are ducking"" ",education
2,The 2 biggest edu elections next week? Cal. supe &amp; Wisc. gov. @MQ_McShane explains ,education
3,"Bloomberg is fighting ""undermatch"" Here's how tech can help qualified students stay on track ",education
4,"We are delighted to welcome Newark Public Schools Superintendent Cami Anderson to keynote 11/13, reigster ",education
5,Interested in education? Don't have much time? @MQ_McShane gives 2 key races to watch in next week's midterms! ,education
6,"Check out the new @AEI website, including our new ed homepage, just launched today! ",education
7,Is pre-K really a bipartisan issue? Not a lot of GOP candidates are talking about it on the campaign trail ,education
8,"Unfortunately, barely 1/3 of prospective GOP governors are talking about school choice this election cycle ",education
9,"We are thrilled that the next @AEI Vision Talk will be on education, ft @ArthurBrooks &amp; @RickHess99, Dec 2, register ",education
10,The GOP and school reform: seems 2014 candidates are more jazzed about spending than real reform @RickHess99 in @NRO,education
11,The College Board Turns Political--thoughts on AP US framework &amp; student protests in CO ,education
12,What do the midterms mean for edu? Here are @RickHess99's 10 facts ,education
13,"Before turning off your computers, register for our ""What the midterms mean for education"" event 11/6 ",education
14,I'd like to tell you to stay inside &amp; read our stuff today but you shouldn't. It's absolutely gorgeous outside (at least here in DC). Enjoy!,education
15,Lazy Sunday? Check out the full video for our #WhatNowCC event on the future of #CommonCore ,education
16,"School choice provides not just academic benefits, but moral ones: it gives low-income parents dignity ",education
17,"""Uncle Sam can't handle nuance when it comes to schooling"" ",education
18,Weekend long read: are you a lawyer? Do you like ed policy? You're needed! @fededgroup on lawyers &amp; ed reform ,education
19,There's an issue that affects 50m people and is being largely ignored by 2014 candidates ,education
20,"Do small schools ""work""?  Maybe...but we ought to pay special attention to the enabling factors ",education
21,"School choice: ""empowering and enabling families to direct the course of their own lives"" ",education
22,Miss our #CommonCore event Wednesday w @minnichc @cgewertz @RickHess99 &amp; @MQ_McShane? Full video here! #WhatNowCC,education
23,Choosing schools for their children can empower low-income parents; new @MQ_McShane in @usnews ,education
24,"Tea Party conservatives might hate #CommonCore, but Repub candidates aren't talking about it ",education
25,"Why reformers would do well to work within ed schools, not try and ""blow them up"" @RickHess99 &amp; @Taryn_Ho",education
26,"Did @billgates' efforts with ""small schools"" work? @RickHess99 reviews new @mdrc_news report &amp; urges caution ",education
27,"Lunch time watch: in a couple weeks, we'll have a new book out on comprehensive colleges. To preview, check out ",education
28,"This mornings RHSU: @RickHess99 talks ""Small Schools, Stone Soup, and School Improvement"" ",education
29,The public cares about education. So why aren't candidates talking about it? ,education
30,Lawyers can help ed leaders navigate the web of laws they face to fix schools; here's how ,education
31,Special thanks to @minnichc &amp; @cgewertz for joining us today! #WhatNowCC,education
32,"That's a wrap! Thank you for joining, full event video up online later today #WhatNowCC",education
33,.@cgewertz &amp; @minnichc agree this is weak area w #CommonCore; Minnch: other standards also poor at helping special needs students #WhatNowCC,education
34,Next batch of Twitter ?s: impact of #CommonCore on students w special needs or ELL? #WhatNowCC,education
35,".@minnichc we have to see more kids being successful, graduating HS, getting jobs; points to KY as early success #WhatNowCC",education
36,Asks Fritz Edelstein: what other measures/outcomes do we care about with #CommonCore? #WhatNowCC,education
37,".@RickHess99 says he'll wait ""til the 10-12 mile mark"" before judging if #CommonCore is good or bad; not at the 18-mile mark yet #WhatNowCC",education
38,".@minnichc ""We could spend 1.5 hours talking teacher prep; that is an issue we have to solve"" #WhatNowCC",education
39,"Likewise, @cgewertz says there is a wide variance in prof dev: some deep, but much is not #WhatNowCC",education
40,".@cgewertz in general ""real philosophical divide"" w teacher prep programs, some don't think it's their job to teach standards #WhatNowCC",education
41,Here's another Twitter ?: what impact will #CommonCore have on teacher prep? #WhatNowCC,education
42,"In response to @CERKaraKerwin, @RickHess99 says it's important to have high-level talks on CC and its impact on schools #WhatNowCC",education
43,".@minnichc there will be glitches w online testing at first, but that's the direction we are heading as a country #WhatNowCC",education
44,.@RickHess99 I worry CC is an engineering project where we've paid more concern to getting it done than how it's getting done #WhatNowCC,education
45,"For those confused about @RickHess99's idiom of the day (""pig in a poke""), check it out #WhatNowCC",education
46,A: @cgewertz teachers do need help; @minnichc trying to strike balance to appeal to both parents &amp; high school math teachers #WhatNowCC,education
47,Here's a question from @QuinHillyer of @nro: do teachers understand CC standards #WhatNowCC,education
48,".@rickhess99 ""#CommonCore feels like a pig in a poke"" &amp; wants to see evidence that instruction is robust before buying in fully #WhatNowCC",education
49,"Popular Q from Twitter: effect of #CommonCore on non-testing subjects, e.g. arts, phys ed, etc, and ""narrowing"" of curriculum #WhatNowCC",education
50,We're opening it up to questions! Ask Mike via @MQ_McShane or using #WhatNowCC,education
51,"Are advocates setting up #CommonCore to fail w lofty rhetoric? @minnichc CC is a big deal, we are asking more of kids this year #WhatNowCC",education
52,What is success? @cgewertz evidence kids doing better; @RickHess99 &amp; @minnichc consensus on what teaching CC means #WhatNowCC,education
53,".@MQ_McShane next asks: what does ""success"" look like in 10 yrs time? #WhatNowCC",education
54,"A: @minnichc testing and the ""materials gap,"" @RickHess99 ""over-exuberant advocates,"" @cgewertz quality of tests #WhatNowCC",education
55,.@MQ_McShane asks: what is the biggest threat to #CommonCore going forward? #WhatNowCC,education
56,"We have agreement! @RickHess99 &amp; @minnichc agree that vy few people truly understand CC, more info will be crucial going forward #WhatNowCC",education
57,"As a reminder, you can livestream online here or using #WhatNowCC",education
58,The full piece can be found here #WhatNowCC,education
59,.@MQ_McShane references @RickHess99's piece in @Washingtonpost today that vy few 2014 candidates mention Common Core #WhatNowCC,education
60,@JasmineD1001it's #WhatNowCC,education
61,"@JasmineD1001 hi Jasmine, we've been using #WhatNextCC.  Thx for following!",education
62,".@RickHess99 crucial to have clear, strict standards on testing procedures, cut scores for all states that remain w Common Core #WhatNowCC",education
63,"Bigger question: for states that stick w #CommonCore, what state policies will keep CCSS successful? @minnichc #WhatNextCC",education
64,"""In the end, the #CommonCore was never built for 50 states"" &amp; if states want out, they can leave @minnichc #WhatNowCC",education
65,"""Trying to drag everybody along on the Common Core train"" instead of just a coalition of willing states has led to huge problems @RickHess99",education
66,"Really important to have a common cut score in order to achieve goal of high standards, says @minnichc #WhatNowCC",education
67,"In terms of testing timelines @minnichc says ""a single federal timeline"" is hard, let states decide #WhatNowCC",education
68,"For more on @RickHess99's thinking on the troubles &amp; future of #CommonCore, check out this graphic #WhatNowCC",education
69,What's the future of #CommonCore? @RickHess99 says way forward is letting state &amp; local officials make decisions #WhatNowCC,education
70,".@minnichc agrees on problems w textbooks: ""we must do a better job getting this in the hands of teachers"" #WhatNowCC",education
71,"Re textbooks &amp; materials, @cgewertz ""this is one of the most universal and consistent complaints: [that] the stuff is junk"" #WhatNowCC",education
72,.@minnichc says states have flex to implement #CommonCore as befits their needs #WhatNowCC,education
73,".@RickHess99 part of problem is ""a lot of stuff that goes along w Common Core"" ie reading science manuals vs. doing labs #WhatNowCC",education
74,"Is data privacy a concern for folks on the ground? @cgewertz ""It's a concern"" but not the main issue people talking about #WhatNowCC",education
75,".@minnichc anti-CC ""have passion &amp; money"" to overturn but despite this teachers poll positive in support #WhatNowCC",education
76,"""I'm not sure the advocates even understand how well [#CommonCore] will work,"" says @RickHess99, &amp; thinks states moving away a good thing",education
77,"Says @RickHess99, 1 reason for controversy today is #CommonCore ""felt like a surprise in 2009-2010,"" public didn't understand it #WhatNowCC",education
78,"Chris Minnich of @CCSSO ""I don't see a lot more eroding of the 26 [states] we have now,"" figuring out cut scores big ? #WhatNowCC",education
79,.@cgewertz cites reserach showing that a full 1/3 of districts are behind in implementing the #CommonCore #WhatNowCC,education
80,"And we're off! @MQ_McShane cites @RickHess99's @NationalAffairs piece on #CommonCore, check it out here #WhatNowCC",education
