"","user","type"
"1","A vintage Thierry Mugler suit at the Women Fashion Power exhibition at the Design Museum ","fashion"
"2","Mayor of Paris Anne Hidalgo opens the Women Fashion power exhibition at the Design Museum ","fashion"
"3","From Kate Moss to Beyonc: Whos who in Philip Greens little black book ","fashion"
"4","Whatever happened to maternity jeans, wonders @harrywalker1 ","fashion"
"5","From evening pumps to Chelsea boots, a round-up of the best flat shoes: ","fashion"
"6","This week Im wearing... over-the-knee boots ","fashion"
"7","Flashback to last night and Gaga playing guitar in a sequin thong #hero @bershka #BershkaNights #fbf #LittleMonsters ","fashion"
"8","How to wear: roll necks ","fashion"
"9","The pre-evening accessories assemble - we've all done it #Bally London @BALLY_SWISS ","fashion"
"10","Cobbler cobbler build me a shoe - from scratch #BallyLondon @BALLY_SWISS ","fashion"
"11","Shoes dyed to order - you're telling me tangerine isn't natural? @BALLY_SWISS #BallyLondon ","fashion"
"12","Can't wait to get le bottom in #lekilt come #SS15 @Sane_PR @sammccoach #pressdays ","fashion"
"13","Going somewhere @IPRfashion? #SS15 #pressdays ","fashion"
"14","Can never just stroll past an #Ashish rail @VillagePressLtd #rainbowrail ","fashion"
"15","It's high tea time at Times fashion HQ thanks to @TMLewin #jamfight ","fashion"
"16","Oscar de la Renta: for the masses, something to aspire to; for the wealthy, a rite of passage ","fashion"
"17","From milk baths to body lotion, heres our pick of the top products containing jasmine: ","fashion"
"18","Arans, cable-knits and roll necks  knitwear has gone traditional: ","fashion"
"19","Oscar de la Renta  fashions American Dream ","fashion"
"20","Me, an angel? A bra that fits would do: ","fashion"
"21","From SJP to the First Lady, we celebrate some of Oscar de la Rentas most notable creations: ","fashion"
"22","'Fashion's about dressing according to whats fashionable. Style's about being yourself' (EPA) ","fashion"
"23","Cool winter coats dont need to cost an arm and a leg, says @harrywalker1 ","fashion"
"24","This week on Monday morning's man, we bring you the wooliest knits around: ","fashion"
"25","Need a new bag? From the tote and backpack to the clutch and bucket bag, we round up the best: ","fashion"
"26","This week Im baring... vertical cleavage ","fashion"
"27","Ralph &amp; Russo at the @V_and_A #fashioninmotion ","fashion"
"28","Don't miss this week's 'how to wear: leather trousers' ","fashion"
"29","This week on 'how to wear' we're styling up leather trousers: ","fashion"
"30","Our pick of the #SS15 @NicoleFarhiLtd collection - bring on the summer stripes! #NICOLEFARHI #pressday ","fashion"
"31","First foray into accessories and we're mighty impressed @NicoleFarhiLtd #NICOLEFARHI #SS15 #pressday ","fashion"
"32","The former Topshop buyer who is showing fine minimalist credentials for Freda @MATCHESFASHION ","fashion"
"33","The dealers wear Prada @FriezeLondon says @harrywalker1 ","fashion"
"34","This week on news and shoes: boots made . . . by you ","fashion"
"35","DIY facial peels to brighten dull skin: ","fashion"
"36","This week Im wearing... cropped trousers: ","fashion"
"37","Shop 23 great coats to buy now: ","fashion"
"38","This week's Monday morning's man brings you autumn boots: ","fashion"
"39","Checking out the wall of ties @MrSuitsupply today ","fashion"
"40","Autumn/Winter trends have just landed. Check out Michael Hennegan giving his opinion on Diesel's best menswear looks ","fashion"
"41","What sight means to us... Seeing friends and family, even if they're the furry kind. #givesight @TOMSuk ","fashion"
"42","These outfits are looking far more weather appropriate now! @ExposureLondon @Barbour ","fashion"
"43","The sweetest delivery of vegan cupcakes from @PETAUK today. Are you ready for world vegan day on November 1st? ","fashion"
"44","Didn't know we wanted jewels on our brows. But now we do @BenefitUK from 1st November! ","fashion"
"45",".@WorldMcQueen jacket from @V_and_A #savagebeauty; exhibition in London will be a third bigger than original in NY ","fashion"
"46","'bell jar' dress, ss09 by @WorldMcQueen at this morning's #savagebeauty briefing @V_and_A ","fashion"
"47","Ensemble from @WorldMcQueen widows of culloden collection, 2006, on show at the @V_and_A this morning #savagebeauty ","fashion"
"48","Breakfast this morn is with the fabulous Dawn O'Porter and her retro funtime range #bobbydop @bob_by_dop ","fashion"
"49","Man repelling: this seasons culottes ","fashion"
"50","This week's fashion news is all about denim, wool and Uggs, says @fran_mullin ","fashion"
"51","Online bargains: where fashion editors buy (and sell) clothes, by @harrywalker1 ","fashion"
"52","Disgraced Galliano gets second chance: ","fashion"
"53","The Yorkshireman making Coach bags hip: ","fashion"
"54","Don't miss out on our accessories special from this weekend's magazine: ","fashion"
"55","Am I too old for... midiskirts? ","fashion"
"56","The little black sock is the height of chic, says @harrywalker1 ","fashion"
"57","This week's Monday morning's man is all about the hybrid bomber: ","fashion"
"58","Fashion month may be over but we're still posting! Follow us on #instagram now @timesfashiondesk ","fashion"
"59","Nicolas Ghesquire takes Louis Vuitton on a sci-fi journey, says @carolynasome ","fashion"
"60","Officially in the festive mood @marksandspencer #chestnutsroastingonanopenfire ","fashion"
"61","Colin gets a festive makeover @marksandspencer #xmas ","fashion"
"62","Discover the key shows from fashion month, shade by shade, look by look ","fashion"
"63","Loose and unstructured #hermes #PFW ","fashion"
"64","#PFW heralded the return of kooky trends, @carolynasome &amp; @harrywalker1 on how to wear them ","fashion"
"65","Following us on #instagram? No time like the present! @timesfashiondesk ","fashion"
"66","A very minimalist table display from @AnthropologieEU #obviously ","fashion"
"67","Beetle candle holders for the more eclectic Christmas spread @AnthropologieEU ","fashion"
"68","Mini festive scenes for the mantle from @johnlewisretail #JLChristmasShop ","fashion"
"69","We'll take them all! @johnlewisretail #JLChristmasShop #timesreindeerarmy ","fashion"
"70","Corsets and are back  and so is beige, according to @harrywalker1 and @carolynasome ","fashion"
"71","Fashion insider: what to buy this autumn, by @carolynasome ","fashion"
"72","Vive la diffrence! Karl hits the mark @CHANEL says @carolynasome ","fashion"
"73","Bright and early at the impressive new Fondation Louis Vuitton, designed by Frank Geary #pfw ","fashion"
"74","#AlexanderMcQueen geishas #PFWSS2015 ","fashion"
"75","Painted white bronze orchids by Marc Quinn #AlexanderMcQueen #PFWSS2015","fashion"
"76","Stage set at #AlexanderMcQueen #PFWSS2015 ","fashion"
"77","The Chanel protest of 2015, lead by @caradelevingne #ss15 #pfw #chanel ","fashion"
"78","#CaraDelevingne leads the band of #chanel protesters ","fashion"
"79","Hanging loose with attitude for comfort and joy @StellaMcCartney by @harrywalker1 ","fashion"
"80","Morning #chanel boulevard #PFWSS2015 ","fashion"
"81","The street that Chanel built... Inside the Grand Palais for this morning's show #pfw ","fashion"
"82","Say cheese #rogervivier #pfw ","fashion"
"83","Time to ruffle the glossy image of luxury label, says @carolynasome ","fashion"
"84","Head to our #instagram for the inside scoop from the beautiful and barmy world of fashion @timesfashiondesk ","fashion"
"85","Eveningwear as daywear: night shirts a plenty at #DiorLive #PFWSS15 ","fashion"
"86","Just another casual outfit outside #diorlive ","fashion"
"87","The 'salons' @dior - four giant pods models will walk around #diorlive #pfw ","fashion"
"88","Big bird yellow at Issey Miyake! #PFW ","fashion"
"89","Upbeat shows where everybodys talking about pop music, says @harrywalker1 of #pfw ","fashion"
"90","Origami pleats at Issey Miyake #pfw ","fashion"
"91","The line out at Loewe s/s 2015 ","fashion"
"92","The finale at JW Anderson's Loewe debut #pfw ","fashion"
"93","Cinematic snacks pre #lanvin #PFWSS15 let the show begin ","fashion"
"94","Finale at Nina Ricci - make do and mend goes high end #pfw ","fashion"
"95","Kim Kardashian poses with olivier Rousteing after the Balmain show #pfw ","fashion"
"96","Follow us on #instagram for images live from the #FROW @timesfashiondesk ","fashion"
"97","Coloured leather and zipped up curve-enhancing skirts worthy of a #Kardashian bottom at #BALMAINSS15 #PFWSS15 ","fashion"
"98","Squishy monster feet - for all ages? From @debenhams #ChristmasatDebs ","fashion"
"99",".@Debenhams take on the #karlito #ChristmasatDebs #stockingfillers ","fashion"
"100","#Carven finale #PFWSS15 ","fashion"
"101","Is this the least intimidating fashion store in Mayfair? @victoriabeckham ","fashion"
"102","Eco warrior chic inspires Van Notens natural look, says @harrywalker1 @DriesVanNoten ","fashion"
"103","The new FROW accessory? Toddlers popping up everywhere at #PFWSS15 ","fashion"
"104","Roland Mouret SS15 finale #pfw ","fashion"
"105","Signature separates and punchy colours #RolandMouret #PFWSS15 ","fashion"
"106","Baby North takes her turn to pay homage backstage at #BALENCIAGASS15 #PFWSS15 ","fashion"
"107","Sci-fi togas at Violet #pfw ","fashion"
"108","Finale at Rochas, Alessandro dell'Aqua's first collection for the label #pfw ","fashion"
"109","It's the back of Kanye's head! #driesvannoten #pfw ","fashion"
"110","The textured mossy carpet catwalk at Dries Van Noten #pfw ","fashion"
"111","Get me in these times pink, dog print pyjamas - ASAP! @BouxAvenue @TRACEPublicity ","fashion"
"112","Pleated and trailing chiffon at Yang Li #pfw ","fashion"
"113","The Eighties were back in vogue but blue was the colour of the moment in Milan ","fashion"
"114","In this week's beauty jury we test hair care for blondes: ","fashion"
"115","Roll up those sleeves  utility chic is back, according to @carolynasome and @harrywalker1 ","fashion"
"116","First look of Paris fashion week at Anthony Vaccarello #PFW ","fashion"
"117","@kate_verdict Kate we need your expertise! Can you contact us?","fashion"
"118","Are you following us on #instagram yet? No? Your loss...@timesfashiondesk ","fashion"
"119","D&amp;G invades the catwalk in black and red baroque: ","fashion"
"120","Stripy sequins at trussardi #mfw ","fashion"
"121","Plundering the Sicilian archives once again with a baroque/ Spanish invasion collection @dolcegabbana #MFWSS15 ","fashion"
"122","#dolcegabbana finale #mfw ","fashion"
"123","Move over Columbia road. #marni does it better. #20years #MFWSS15 ","fashion"
"124","V for #versace goes minimal and sporty #MFWSS15 ","fashion"
"125","Snake eyes! Serpent fastening on Bulgari's new season handbags #mfw ","fashion"
"126","Sheer maxidresses at Roberto Cavalli #mfw ","fashion"
