"","user","type"
"1","Jose's Journey: An unaccompanied minor's escape from violence to redemption in America: ","news"
"2","FTC suing AT&amp;T for allegedly misleading customers over ""unlimited"" data and data speeds: (Corrects: customers)","news"
"3","Gaming, gender, diversity and vitriol.What you need to know about #gamergate: ","news"
"4","FTC suing AT&amp;T for allegedly misleading millions ""by charging them for 'unlimited' data plans while reducing their data speeds.""","news"
"5","Nurse Amber Vinson on being declared free of Ebola: ""With God, all things are possible"" - @ABCNewsHealth ","news"
"6","Court-martialed registered sex offender emerges as star college football player - @ABCInvestigates: ","news"
"7","14 taken to hospitals after Amtrak train from Indianapolis to Chicago and semi collide: ","news"
"8","Investigators combing through surveillance videos after man goes missing during NFL game: ","news"
"9","Shooting reported outside courthouse in Nashville, North Carolina, fire department says - @jasonvolack / @ABC11_WTVD","news"
"10","5-year-old boy to be removed from isolation after fever linked to respiratory infection, not Ebola, NYC health dept. says - @JoshMargolin","news"
"11","River of lava approaches Hawaii homes: ","news"
"12","One week from Election Day, Americans expect the GOP to win the Senate, 46% to 33%, in today's new ABC/WaPo poll. ","news"
"13","Majority of Americans say country is on the wrong track: ","news"
"14","New This Morning: Amber Vinson, now Ebola free, will be released from the hospital today. ","news"
"15","JUST IN: Dallas nurse Amber Vinson discharged after Ebola treatment ","news"
"16","Nurse Kaci Hickox's quarantine was based on ""fear and politics,"" her attorney says ","news"
"17","Kasparov vs. Deep Blue: 6 games, 9 days and a lifetime of intrigue - WATCH: - via @FiveThirtyEight #ManVsMachine","news"
"18","A coyote and a real-life news stringer helped Jake Gyllenhaal prepare for 'Nightcrawler' role: ","news"
"19","Pres. Clinton: Gender and racial politics are the ""greatest threat"" to US future: ","news"
"20","Researcher: BP spill left oily ""bathtub ring"" the size of Rhode Island on seafloor: ","news"
"21","Donations pour in to buy car for man continually mistaken for fugitive during walk to work: ","news"
"22","'Duck Dynasty' star says he ""about died"" from a seizure: - @TheRealRothman ","news"
"23","US Embassy in Moscow facing Soviet-era harassment tactics, officials tell @ABC's @KiritRadia: ","news"
"24","Wa. school shooting victim Gia Soriano dies; death toll rises to 3: ","news"
"25","Man out for a jog runs past security, right into British Prime Minister Cameron: ","news"
"26","Artists paint portraits in honor of 43 missing Mexican students: - @ThisIsFusion ","news"
"27","At a VA medical center, a cat named Tom provides peace and comfort in life's final moments: ","news"
"28","Rep. McCaul: ISIS waging war online; recent homegrown attacks are examples of ""where they’re winning"" - ","news"
"29","US Marines hand over control of iconic Camp Leatherneck to Afghan Army: ","news"
"30","Man remains missing after seemingly vanishing from stadium during Broncos game: ","news"
"31","US Army to quarantine troops returning from deployments to Liberia: ","news"
"32","With no way to divert lava's flow, residents prepare to evacuate Hawaiian town: ","news"
"33","What will happen to your Twitpics following Twitter's takeover: ","news"
"34","Pres. Clinton: Gender and racial politics are the ""greatest threat"" to US future: ","news"
"35","MORE: Investigators: Wa. school shooter used legally purchased, registered .40-caliber Berretta handgun that was owned by a family member.","news"
"36","NEW: Sheriff: Marysville, Wa., school shooter invited victims via text message to sit with him at lunch.","news"
"37","Gov. Christie on nurse's controversial quarantine: ""I have a much greater, bigger responsibility to the people"" - ","news"
"38","Researcher: BP spill left oily ""bathtub ring"" the size of Rhode Island on seafloor: ","news"
"39","Artists paint portraits in honor of 43 missing Mexican students: - @ThisIsFusion ","news"
"40","Wa. school shooting victim Gia Soriano dies; death toll rises to 3: ","news"
"41","'Duck Dynasty' star says he ""about died"" from a seizure last Sunday: - @TheRealRothman ","news"
"42","Donations pour in to buy car for man continually mistaken for fugitive during walk to work: ","news"
"43","US gas prices at cheapest level in 4 years: ","news"
"44","Man out for a jog runs past security, right into British PM Cameron: ""It was a coincidence"" - ","news"
"45","What seats are the wild card races in the Senate? Where things stand in the @ABCPolitics election race ratings: ","news"
"46","Kasparov vs. Deep Blue: 6 games, 9 days and a lifetime of intrigue - WATCH: - via @FiveThirtyEight #ManVsMachine","news"
"47","Pentagon: US airstrike operations on ISIS targets in Iraq and Syria have cost $580,000,000 since they began Aug. 8 - @LMartinezABC","news"
"48","Experimental, silent Mylar balloon being deployed in ongoing search for fugitive Eric Frein: ","news"
"49","At this VA medical center, a cat named Tom provides peace and comfort in life's final moments: ","news"
"50","Defense official: Gen. Dempsey to recommend to Sec. Hagel that all US military forces returning from Liberia undergo 21-day quarantine.","news"
"51","Man remains missing after seemingly vanishing from stadium during Broncos game: ","news"
"52","NJ Gov. Christie says he ""didn't reverse any decision"" on quarantined nurse; release came after testing negative for Ebola - @JoshMargolin","news"
"53","UPDATE: Nurse Kaci Hickox released from quarantine, has left New Jersey hospital - @AaronKatersky ","news"
"54","US, Britain hand over control of Camp Leatherneck, Camp Bastion to Afghan Army: ","news"
"55","US Embassy in Moscow facing Soviet-era harassment tactics, officials tell @ABC's @KiritRadia: ","news"
"56","Kasparov vs. Deep Blue: Exploring the battle for intelligence - WATCH: - @FiveThirtyEight ","news"
"57","Nurse to be transported to Maine after NJ decides to release her from forced quarantine: ","news"
"58","Emergency officials: Advance of lava into Hawaiian town appears “inevitable” - ","news"
"59","JUST IN: Quarantined nurse, Kaci Hickox, who tested negative for Ebola in N.J. is being released","news"
"60","5-year-old boy in New York City to be tested for Ebola ","news"
"61","JUST IN: Prosecution says it will appeal Oscar Pistorius verdict ","news"
"62","NEW THIS MORNING: Five-year-old boy under observation at NYC hospital over Ebola concerns. ","news"
"63","Baseball mourns the death of Oscar Taveras, a star in the making ","news"
"64","Gia Soriano, teen wounded in Washington school shooting, has died, hospital officials say ","news"
"65","When is the best time to buy airfare? ","news"
"66","Officials threatening to close bear-watching area because too many people are trying to take selfies with bears: ","news"
"67","New York Gov. Cuomo eases state's policy for Ebola quarantine: ","news"
"68","JUST IN: St. Louis Cardinals outfielder Oscar Taveras, girlfriend killed in crash, Dominican Nat'l Police tell @ABC: ","news"
"69","Lawyer plans to file federal lawsuit for nurse quarantined despite testing negative for Ebola: ","news"
"70","From Ukrainian elections to Mo'ne Davis throwing World Series first pitch, 5 things you may have missed ","news"
"71","NYC Ebola patient ""looks better"" after plasma treatment, doctors say ","news"
"72","Ebola World View - Who has it and where: ","news"
"73","Nurse quarantined in New Jersey over Ebola fear feels like a ""criminal"" - ","news"
"74","Infectious disease specialist rejects mandatory quarantine for medical workers returning to U.S. from West Africa: ","news"
"75","Man charged with killing 2 California deputies and wounding a third had been departed twice. ","news"
"76","Eric Frein searchers testing blood found on family's farm: ","news"
"77","Washington school shooter had been expected to ""become a leader"" - ","news"
"78","Nurse criticizes her quarantine at NJ hospital after she returned from treating Ebola patients in West Africa: ","news"
"79","Fiancee of doctor who contracted Ebola is released from hospital, quarantined in their apartment ","news"
"80","3 California sheriffs' deputies shot, 1 dies while investigating a suspicious vehicle: ","news"
"81","Shooting suspect who opened fire at Washington state school identified to @ABC News: ","news"
"82","When is the best time to buy airfare? ","news"
"83","NY and NJ mandate 21-day quarantine for people who have had contact with Ebola-infected patients in West Africa: ","news"
"84","What are the odds! Well they're 1 in 9.7 trillion. Man wins same lottery twice: ","news"
"85","What it's like riding the same NYC subway lines as the Ebola patient: ","news"
"86","American teen was shot and killed during West Bank clash with Israelis: ","news"
"87","JUST IN: Police: Human remains found in Albemarle Co., Va., confirmed to be missing student Hannah Graham. ","news"
"88","JUST IN: Officials: Ax attack on NYC police officers appears to be a lone wolf terror attack: ","news"
"89","Memorial to slain Canadian soldier grows as Nat'l War Memorial reopens to public in Ottawa: ","news"
"90","MORE: Hospital: 3 students in critical condition are in surgery after Marysville, Wa., school shooting - ","news"
"91","MORE: Hospital: 4 ""young people"" brought to hospital, 3 in critical condition, after Wa. school shooting; no additional patients expected.","news"
"92","JUST IN: Police: 2 dead, including gunman, after shooting at Marysville, Wa., school - ","news"
"93","Student barricaded in Wa. school: ""I ran to the nearest classroom"" after hearing gunshots: ","news"
"94","Coordinated attack on Egyptian Army post leaves 30 soldiers dead: ","news"
"95","Pres. Obama has been briefed on Washington state school shooting - @stevenportnoy ","news"
"96","JUST IN: Police: Wa. school shooter is dead; confident there was only 1 shooter - ","news"
"97","Pres. Obama welcomes Ebola survivor Nina Pham with a hug an the White House: ","news"
"98","LIVE: @ABC News Digital Special Report:Possible active shooter incident at school in Wa. - ","news"
"99","Student at Marysville-Pilchuck High School in Wa. tells @komonews that students fled cafeteria after hearing what sounded like gunshots.","news"
"100","DEVELOPING: Possible active shooter incident at school in Marysville, Wa., police tell @ABC: ","news"
"101","MORE: FBI personnel en route to school in Marysville, Wa., due to ongoing security incident - @JackDate","news"
"102","BREAKING: Possible active shooter incident at a school in Marysville, Wa., police tell @ABC - ","news"
"103","JUST IN: White House says Pres Obama will meet with Ebola survivor Nina Pham in the Oval Office on Friday afternoon - @ABCNewsHealth","news"
"104","NYC Mayor de Blasio on Ebola fears: ""There is no reason for New Yorkers to change their daily routine"" - @ABCNewsHealth","news"
"105","NYC mayor rides subway after declaring “no reason for New Yorkers to be alarmed"" by Ebola: ","news"
"106","Emory Univ. Hospital: Dallas hospital nurse Amber Vinson ""making good progress"" and ""tests no longer detect"" Ebola in her blood.","news"
"107","Nat'l Institutes of Health: Dallas hospital nurse Nina Pham was declared free of Ebola after 5 tests came back negative - @ABCNewsHealth","news"
"108","Ebola survivor Nina Pham: ""I feel fortunate and blessed to be standing here today"" - @ABCNewsHealth ","news"
"109","JUST IN: Nurse Nina Pham leaves Nat'l Institutes of Health after being declared Ebola-free - ","news"
"110","Large lava flow picking up speed, advancing toward Hawaiian town: - @Clayton_Sandell ","news"
"111","Dallas hospital nurse Nina Pham has been declared free of Ebola, NIH says: - @slupkin ","news"
"112","ALERT: NYC Mayor Bill de Blasio to give update on patient with Ebola in live news conference ","news"
"113","What you should know about health care open enrollment: - @skimm ","news"
"114","Statue of Liberty to be ""dressed"" for Halloween, despite ire of Nat'l Park Service: ","news"
"115","NYC mayor: ""No reason for New Yorkers to be alarmed"" after doctor tests positive for Ebola: - @ABCNewsHealth","news"
"116","Microsoft co-founder Paul Allen says he'll give $100,000,000 to fight Ebola: ","news"
"117","Police official: Ottawa gunman had applied for a passport, ""was hoping to leave for Syria"" - ","news"
"118","Zach Galifianakis ""back to interviewing dumb actors"" in 'Between Two Ferns' - WATCH: ","news"
"119","Police: Hatchet-wielding suspect shot dead after attacking group of officers in NYC: ","news"
"120","NYC mayor: ""There is no reason for New Yorkers to be alarmed"" after doctor tests positive for Ebola: ","news"
"121","1 killed, 11 injured in gas pipe explosion in Germany: ","news"
"122","Wife discovers trove of letters from husband after his death: ","news"
"123","Inside the epicenter of safer helmet research: Virginia Tech - WATCH: - @JimAvilaABC ","news"
"124","At the family home of slain Canadian soldier Nathan Cirillo, they wait: ","news"
"125","Statue of Liberty to be ""dressed"" for Halloween, despite ire of Nat'l Park Service: ","news"
"126","Canadian Parliament gives standing ovation for sergeant-at-arms who shot, killed gunman: ","news"
"127","Uber: CDC and NYC Dept. of Health say driver who transported doctor before Ebola diagnosis are not at risk, nor his subsequent passengers.","news"
"128","Texas health workers using Tabasco sauce to train for treating Ebola patients: ","news"
"129","NYC health commissioner: Before being diagnosed with Ebola, doctor rode on NYC subway system, but did not exhibit symptoms at the time.","news"
"130","Sickened doctor tests positive for Ebola at NYC hospital: ","news"
"131","CDC: 3 members from CDC Ebola Response Team to arrive in New York City tonight after doctor tests positive - @ABCNewsHealth","news"
"132","Timeline for doctor with Ebola:Oct. 14: Leaves GuineaOct. 17: Arrives in NYCOct. 21: Feels tiredOct. 23: Onset of Ebola symptoms","news"
"133","NYC Mayor de Blasio on Ebola: Being on same subway car or living near someone with Ebola does not necessarily put someone at risk.","news"
"134","NYC Mayor de Blasio: ""There is no reason for New Yorkers to be alarmed"" after doctor tests positive for Ebola - @ABCNewsHealth","news"
"135","Mother-to-be of 2 sets of identical twins undergoes emergency surgery: ","news"
"136","Police: Hatchet-wielding suspect shot dead after attacking group of officers in NYC: ","news"
"137","Ottawa Police: Nat'l War Memorial where solider was shot and killed has been reopened to public; Parliament Hill remains off limits.","news"
"138","Secret Service dogs who helped take down White House fence jumper are back to work: ","news"
"139","UPDATE: Sickened doctor tests positive for Ebola at NYC hospital, official tells @ABC News: ","news"
"140","JUST IN: NY Gov. Cuomo, NYC Mayor de Blasio to speak at 9 p.m. ET from NYC hospital where sickened doctor has tested positive for Ebola.","news"
"141","BREAKING: Sickened doctor at NYC hospital has tested positive for Ebola, an official tells @ABC News - @JoshMargolin ","news"
"142","Police official: Ottawa gunman had applied for a passport, ""was hoping to leave for Syria"" - ","news"
"143","What you should know about health care open enrollment: - @skimm ","news"
"144","US taxpayers spent $387,000 on Swedish massages for rabbits: ","news"
"145","Police: Man pretended to be in a coma for 2 years to avoid court: ","news"
"146","WATCH: Sounds of apparent gunfire inside halls of Canada's Parliament Hill: ","news"
"147","Ebola-infected nurse's dog tests negative for Ebola: ","news"
"148","Police: Safety perimeter in downtown Ottawa lifted, but Parliament Hill remains closed due to ongoing police operation - @JackDate","news"
"149","Canadian PM Harper on attacks: ""We will not be intimidated. Canada will never be intimidated."" - @RymMomtaz","news"
"150","White House fence jumper being transported to hospital after being subdued with assistance of Secret Service K9 teams - @MLevineReports","news"
"151","UPDATE: Secret Service: Fence jumper scales White House fence; K9 released: ""Dog got him"" - ","news"
"152","World Series wish comes true for 6-year-old cancer patient: ","news"
"153","JUST IN: Secret Service spokesman: Fence jumper apprehended along White House north fence; K9 assisted in apprehension - @JackDate","news"
