"","user","type"
"1","Jose Mourinho isn't impressed with some of his Chelsea players. Find out more #cfc ","sports"
"2","Are Chelsea lining up a £24m move for this man in January to replace John Terry? #CFC ","sports"
"3","Preparations for the Club World Cup in Morocco to continue despite Ebola epidemic ","sports"
"4","Nigeria have been given until Friday to avoid a seven-month ban by Fifa: ","sports"
"5","A county FA official banned for 'kitchen' insult to a female referee: ","sports"
"6","The emblem for the #2018WorldCup has been revealed from the International Space Station: ","sports"
"7","A night to remember for the Cherries. League Cup last 16 match reviews here: ","sports"
"8","A stunning comeback from Derby as they come from two goals down to beat Fulham 5-2 #dcfc #ffc ","sports"
"9","So, Chelsea, Liverpool, Bournemouth, Sheff Utd &amp; Derby reach the League Cup quarters. Reaction here: #bbcfootball","sports"
"10","FT Liverpool 2-1 Swansea - Mario Balotelli &amp; Dejan Lovren turn it around late on for #LFC ","sports"
"11","Liverpool 1-1 Swansea - Why always him? Mario Balotelli equalises with five mins to go. #LFC ","sports"
"12","FT Bournemouth 2-1 West Brom - Bournemouth reach League Cup quarter finals for the first time: ","sports"
"13","FT Shrewsbury 1-2 Chelsea - Didier Drogba scores as Chelsea edge past the League Two side #CFC ","sports"
"14","Bournemouth 2-1 West Brom - Callum Wilson scores straight after Samaras leveled for #WBA. Can the Cherries hold on? ","sports"
"15","Over at Fulham, Derby have come back from two down to lead 5-2. Latest League Cup scores here: ","sports"
"16","Shrewsbury 1-2 Chelsea - Jermaine Grandison heads in an own goal from a teasing cross. ","sports"
"17","Liverpool 0-1 Swansea - Marvin Emnes fires #Swans ahead. All League Cup last 16 scores here: ","sports"
"18","Shrewsbury 1-1 Chelsea - Andy Mangan hooks in from close range to level. Delirium at Greenhous Meadow. ","sports"
"19","So, Fifa have revealed the official emblem for the #2018WorldCup. What do you think? ","sports"
"20","So, 3 goals in 3 games now for the 36-year-old Didier Drogba. Latest League Cup scores here: ","sports"
"21","Shrewsbury 0-1 Chelsea - 3 goals in 3 games for Didier Drogba. #CFC #bbcfootball","sports"
"22","A county FA official has been banned for a sexist insult to a female referee: ","sports"
"23","It's half time in the 19:45 GMT League Cup kick-offs. Scores &amp; updates in our live text:  ","sports"
"24","Novak Djokovic beats Philipp Kohlschreiber 6-3 6-4 in his first match since becoming a father ","sports"
"25","Still goalless in all five League Cup ties tonight. Who will be first to break the deadlock? ","sports"
"26","Joachim Loew has an impressive CV but can he add a Fifa coach of the year award to it? ","sports"
"27","There's a £24m prize difference between the Premier League &amp; the Women's Super League: ","sports"
"28","Familiar with this man #LUFC fans? Ian Harte lines up for Bournemouth v West Brom tonight: ","sports"
"29","The crowd at Shrewsbury v Chelsea set to be the biggest since Elton John played there in 2011 ","sports"
"30","“I still have aspirations to play for England” - full Jonathan Trott interview here: ","sports"
"31","Head to our live text for all of tonight's League Cup team news: #bbcfootball ","sports"
"32","Our live text for the League Cup last 16 is under way. Get involved via #bbcfootball ","sports"
"33","Police to take no further action over Mario Balotelli Ferrari pictures row: #LFC ","sports"
"34","Anything Vergini can do... Watch Djimi Traore's spectacular own goal from the 2005 #FACup here ","sports"
"35","Nigeria have been given until Friday to avoid a seven-month ban from Fifa ","sports"
"36","Fran Halsall wins two golds &amp; sets a British 50m backstroke record at the Fina World Cup ","sports"
"37","Gareth Bale is the only player from the home nations on the 2014 Ballon d'Or shortlist: ","sports"
"38","A Beckham corner gets headed away in the 1996 #FACup final but what happens next? Watch: #MUFC ","sports"
"39","Cristiano Ronaldo has scored yet another hat-trick, but this time of a different kind... ","sports"
"40","Preparations for the Club World Cup in Morocco to continue despite Ebola epidemic. Read more: ","sports"
"41","David Price has waded into the Tyson Fury v Dereck Chisora rivalry. Read more: ","sports"
"42","Just 18 cars line up on the grid this weekend for the #USGP - Read the preview here: #F1 ","sports"
"43","Hearts are to become the first Scottish club to adopt the Living Wage: ","sports"
"44","Men get more prize money than women in 30% of sports. Read more: ","sports"
"45","Jonathan Trott set to make his international return after being called up for England Lions ","sports"
"46","Alfreton Town set to play an outfield player in goal tonight in #FACup tie at Lincoln City ","sports"
"47","Nottingham Forest are in talks to sign Hull City winger Tom Ince: #hcafc #nffc ","sports"
"48","The Ballon d'Or nominees have been announced with many of the usual suspects on the list... ","sports"
"49","Gennaro Gattuso showed no love lost on the pitch but that isn't the case in management... ","sports"
"50","It's fair to say the omens aren't in Shrewsbury's favour tonight... #CFC ","sports"
"51","Watch what Durham seamer Graham Onions has to say on his England career: ","sports"
"52","Who is the 'Manager Eater' &amp; who are the most ruthless chairmen in the game? ","sports"
"53","CSKA Moscow's ban on fans has been reduced on appeal: ","sports"
"54","Cristiano Ronaldo just can't stop winning awards &amp; accolades - he's done it again. Read more: ","sports"
"55","Ahead of Shrewsbury's League Cup game vs Chelsea tonight, what are the greatest cup upsets? Let us know #bbcsportsday ","sports"
"56","Could Shrewsbury end Chelsea's unbeaten run tonight? They have won their last four games... ","sports"
"57","Samir Nasri is in Manchester City's squad for Wednesday's League Cup tie against Newcastle: ","sports"
"58","Despite @teamgb’s success, should UK Sport reconsider its 'no compromise' approach to funding? ","sports"
"59","There is a new team at the top of the @icc ODI rankings ahead of Australia. Read more ","sports"
"60","Police will take no action against Mario Balotelli over claims he used ""threatening behaviour"" ","sports"
"61","Should Carlo Ancelotti win the Fifa coach of the year award? Find out the other nominees at ","sports"
"62","England's Steve McNamara has named an unchanged side to face Australia in the Four Nations ","sports"
"63","30% of sports reward men more highly than women. Which sports provide equal treatment? ","sports"
"64","Find out which striker Ryan Giggs has reportedly flown to watch as a potential @manutd signing ","sports"
"65","Aside from the glory, what do men’s and women’s teams receive for being the best in the world? ","sports"
"66","After the FA Cup 1st Round draw yesterday, do you remember this Cup winning goal? Watch at ","sports"
"67","Premier League winners get £24m in prize money compared to £0 for Women's Super League winners ","sports"
"68","Today's #QSTeaser from @QuestionofSport Since 2010, which five players have finished in the top three of the #BallondOr award?","sports"
"69","Jonathan Trott is named in the England Lions squad for next year's tour of South Africa: ","sports"
"70","Cristiano Ronaldo claimed a hat-trick of awards on Monday. Time for a bigger trophy cabinet? ","sports"
"71","Can Liverpool secure a first League Cup win at Anfield vs a league rival since 2006 tonight? ","sports"
"72","A non-league side is to play an outfield player in goal in the FA Cup. Tips from Harry Kane?  ","sports"
"73","Police will not take action against Liverpool's Mario Balotelli after he was recently accused of threatening a woman: ","sports"
"74","White suits aside, the 1996 FA Cup final was one to forget for Liverpool. Why? Watch here  ","sports"
"75","Which former world champion says F1 should loosen up &amp; be more about personalities? F1 gossip: ","sports"
"76","Tennis is one of 25 sports where men &amp; women receive equal prize money: #bbcprizemoney ","sports"
"77","Steve McNamara names an unchanged England side to face Australia in the Four Nations on Sunday ","sports"
"78","Who are English football's most trigger-happy chairmen &amp; who was known as The Manager Eater? ","sports"
"79","Which Premier League club has the most players on the 23-man Ballon d'Or shortlist? ","sports"
"80","Should all sports pay equal prize money for men and women?  Have your say via #bbcprizemoney  ","sports"
"81","League Cup, media round-up, pundit analysis &amp; best social media. Stay up to date with Tuesday's news in Sportsday:  ","sports"
"82","Real Madrid are to fight Zinedine Zidane's coaching ban for not having required qualifications ","sports"
"83","Former England centre Mike Tindall has started playing for his local club Minchinhampton: ","sports"
"84","Men get more prize money than women in 30% of sports - finds a BBC Sport study #bbcprizemoney ","sports"
"85","Aston Villa have not scored in last five games, but Paul Lambert believes goals will soon come ","sports"
"86","Charlie Austin scored twice on Monday as QPR beat Aston Villa 2-0 to climb off foot of table: ","sports"
"87","Are Manchester City favourites to sign Real Madrid midfielder Sami Khedira? Find out in gossip ","sports"
"88","Bale, Ronaldo, Messi, Neymar, Di Maria, Hazard, Toure, Costa, Courtois, Rodriguez &amp; Robben on Ballon d'Or shortlist ","sports"
"89","England name an unchanged side for the Four Nations rugby league match against Australia in Melbourne on Sunday ","sports"
"90","Real Madrid's Gareth Bale named on the 23-man longlist for the Ballon d'Or award for the best player in the world ","sports"
"91","QPR 2-0 Aston Villa. Charlie Austin scores his second with a neat finish from the edge of the six-yard box. Live text:","sports"
"92","Neil Redfearn is understood to have verbally agreed to become @LUFC's new head coach ","sports"
"93","Second-half underway at Loftus Road. Can Aston Villa get a goal back? Live text: ","sports"
"94","HT QPR 1-0 Aston Villa. Charlie Austin's goal is enough to separate the sides at the break ","sports"
"95","The Rugby Players' Association say rugby union's season structure must change for the sake of player welfare #bbcru","sports"
"96","Zinedine Zidane has been handed a three-month coaching ban with @realmadrid. Find out why ","sports"
"97","QPR 1-0 Aston Villa. Charlie Austin opens the scoring with a great finish from the edge of the box ","sports"
"98","The teams are out at Loftus Road. Follow live text commentary of QPR v Aston Villa here ","sports"
"99","QPR have never lost to Aston Villa when they've hosted them in the PL. Is that about to change?","sports"
"100","FA Cup first-round draw in full #bbcfacup","sports"
"101","Read the full FA Cup first-round draw here. Do you predict any giant killings? ","sports"
"102","Tasty looking FA Cup 1st round ties are Canvey or Havant and Waterlooville v Preston or Chorley or FC Halifax v Bradford.#bbcfacup","sports"
"103","Warrington boss Shaun Reid on home draw v Exeter: ""The chairman promised us a few £ if we got league opposition, the lads will be made up.""","sports"
"104","#bbcfacup FA Cup first round draw in full here ","sports"
"105","80 teams from League One and below in the FA Cup first round draw which starts in SEVEN minutes #bbcfacup","sports"
"106","All set for the FA Cup 1st round draw, live on BBC2, @bbc5live and on the @bbcsport website ","sports"
"107","More on @BlackpoolFC's sacking of Jose Riga after just one win in his 15 games in charge ","sports"
"108","Blackpool confirm that Head Coach Jose Riga has had his contract terminated with immediate effect. More to follow ","sports"
"109","Injury-hit Alfreton Town will have to play an outfield player in goal for their FA Cup fourth-qualifying round replay ","sports"
"110","Former @bcfc skipper Martin O'Connor says Gary Rowett can turn the ship around at St Andrew's ","sports"
"111","Do you agree with Peter Schmeichel's views on @ManUtd's 1-1 draw with @chelseafc? ","sports"
"112","CSKA Sofia coach knocked 'unconscious' by a snowball thrown by a fan: ","sports"
"113","High costs could see Formula 1 lose more teams, says former FIA president Max Mosley. ","sports"
"114","South Africa captain &amp; goalkeeper Senzo Meyiwa: Remembering a 'humble man' and 'hero' ","sports"
"115","Here's more on Gary Rowett becoming the new Birmingham City manager: #BCFC ","sports"
"116","Burton Albion confirm manager Gary Rowett has left the club to take over at Birmingham City. More soon. ","sports"
"117","Crystal Palace co-chairman Steve Parish denies a takeover is imminent #cpfc ","sports"
"118","England women's first match at Wembley to be played in front of their largest ever crowd ","sports"
"119","Nigeria face a new Fifa ban that could rule them out of next year's Africa Cup of Nations ","sports"
"120","The #FACup is back on the BBC, tonight 19:00 GMT. Here's the many ways you can follow it: ","sports"
"121","Marussia have become the second #F1 team to be placed in administration within days: ","sports"
"122","Did you see Russell Brand's (@rustyrockets) big kiss on Big Sam on Saturday? Watch it here: ","sports"
"123","The answers to today's #QSTeaser are Barnsley, Portsmouth, Sheffield United and Wycombe Wanderers.","sports"
"124","QPR have never lost to Aston Villa at home in the @premierleague - Preview: #QPR #AVFC ","sports"
"125","CSKA Sofia's coach was knocked 'unconscious' by a snowball at the weekend... ","sports"
"126","A major manhunt is underway to find the killers of South Africa captain Senzo Meyiwa ","sports"
"127","Here's more on the news prosecutors are to appeal against Oscar Pistorius' verdict &amp; sentence: ","sports"
"128","An unfamiliar look to the top four so far this season, but how will it end up? Use #mytopfour ","sports"
"129","Mike Ashley should bring 'financial stability' to Rangers, says Sandy Easdale. Read more: ","sports"
"130","South African prosecutors say they will appeal Oscar Pistorius verdict &amp; sentence. More soon. ","sports"
"131","What did we learn from @ManUtd's comeback against @chelseafc? Read more: #MUFC #CFC ","sports"
"132","Some lunchtime-viewing for #wafc fans - Watch Ben Watson's 2013 #FACup winning goal (UK only) ","sports"
"133","CSKA Sofia coach knocked 'unconscious' by snowball thrown by  Levski Sofia fans. Read more:  ","sports"
"134","'Shock &amp; devastation' at the fatal shooting of South Africa captain Senzo Meyiwa ","sports"
"135","Could ex-Man Utd &amp; Brighton goalkeeper Tomasz Kuszczak be heading to Bayern? It's the gossip: ","sports"
"136","How do you make (or lose) money in Formula One? Find out here: #F1 ","sports"
"137","South Africa boss Ephraim Mashaba gives a tearful tribute to killed footballer Senzo Meyiwa: ","sports"
"138","Today's @QuestionofSport #QSTeaser: Which four teams in tonight's #FACup 1st Round Draw have reached the Semi Finals since 2000? #facupdraw","sports"
"139","Chris Robshaw ""extremely privileged"" to be England captain for the autumn internationals: ","sports"
"140","Why did Sunderland’s boss have to listen to his team’s promotion on the radio? Find out: ","sports"
"141","Spurs boss Mauricio Pochettino was not happy after his side's 2-1 loss to Newcastle... #THFC ","sports"
"142","Sepp Blatter has paid tribute to killed South Africa captain Senzo Meyiwa. More in Sportsday: ","sports"
"143","Here's more on the news Marussia Formula 1 team have gone into administration: #F1 ","sports"
"144","Marussia Formula 1 team have been placed in administration. More soon. #F1 ","sports"
"145","Louis van Gaal was not happy with Man Utd, despite a late equaliser against Chelsea... #MUFC ","sports"
"146","Read more on the news South Africa's goalkeeper &amp; captain Senzo Meyiwa has been shot dead: ","sports"
"147","""If I speak, I speak with my heart &amp; get into trouble"" - Watch the full interview here: #CFC ","sports"
"148","Chelsea? Man Utd? West Ham? Who will finish in the @premierleague top four? Use #mytopfour ","sports"
"149","San Francisco Giants beat Kansas City Royals 5-0 to edge closer to World Series win ","sports"
"150","Peter Schmeichel knows a thing or two about #MUFC &amp; he's had his say on the 1-1 draw with #CFC ","sports"
"151","Chelsea appoint former Liverpool managing director Christian Purslow  #CFC #LFC ","sports"
"152","David Silva, Alexis Sanchez, Samuel Eto'o - who else made Garth Crooks's team of the week? ","sports"
"153","From Accrington to Woking - the #FACup first round draw numbers: Tonight, 19:00 GMT @BBCTwo ","sports"
"154","Do you agree with these player ratings? Read the Man Utd v Chelsea analysis here: #CFC #MUFC ","sports"
"155","So, lots of praise for Sam Allardyce &amp; West Ham in this weekend's #MOTD3. Watch it here: ","sports"
"156","This is how it looks now, but how will  the @premierleague top four end up? Use #mytopfour ","sports"
"157","Oscar Pistorious ""would have killed someone sooner or later"", says Reeva Steenkamp's mother: ","sports"
"158","Remember this, Wigan fans? Watch the goal that won the 2013 #FACup here (UK only) #wafc ","sports"
"159","From Balotelli to a West Ham record - watch the Premier League weekend in statistics (UK only) ","sports"
"160","Is Barcelona's Pedro on his way to @Arsenal? It's today's gossip: ","sports"
"161","Graham Wallace resigns from his role as #Rangers chief executive, the club announce. ","sports"
"162","South Africa's football captain &amp; goalkeeper Senzo Meyiwa has died after being shot ","sports"
"163","Jose Mourinho unhappy with refereeing decisions in Chelsea's 1-1 draw with Man Utd #CFC #MUFC ","sports"
"164","How does Chelsea’s record this season compare with previous years under Jose Mourinho? ","sports"
"165","Why did Sunderland’s boss have to listen to his team’s promotion on BBC radio? Read more at ","sports"
"166","Tottenham manager Mauricio Pochettino says his players have not got the right ""mentality"" ","sports"
"167","Ahead of the FA Cup draw tomorrow, why not watch this classic Cup goal from 70 yards #bbcfacup ","sports"
"168","To find out what number your club are in the FA Cup 1st round draw go to #bbcfacup ","sports"
"169","Check out some of the key match statistics from @manutd against @chelseafc and a full report ","sports"
"170","#bbcsportingweek – What do some of England’s lost football grounds now look like? ","sports"
"171","Follow live European football coverage including AC Milan-Fiorentina #bbceurofooty ","sports"
"172","Andy Murray saved five match points against Tommy Robredo to win the Valencia Open ","sports"
"173","#bbcsportingweek – Russell Brand kisses Sam Allardyce after West Ham win over Man City ","sports"
"174","#bbcsportingweek – Is the Athens derby the most dangerous in Europe? ","sports"
"175","Gennaro Gattuso has quit as OFI Crete boss, ending his 3rd short managerial role in 18 months ","sports"
"176","After nine games, @manutd have one point fewer than at this stage last term under David Moyes ","sports"
"177","The FA Cup draw is live on @BBCTwo at 7pm on Monday. Watch this classic Cup moment ","sports"
"178","Andy Murray wins Valencia Open event against Tommy Robredo in final set tie-break ","sports"
"179","Jose Mourinho’s #MUFCvsCFC reaction: ""If I say what is in my heart, I will get in trouble"" ","sports"
"180","#MUFC striker Robin van Persie: ""It's a bit of a mixed feeling - we could have won today.” ","sports"
"181","Follow the final stages of Andy Murray’s match against Tommy Robredo in Valencia Open final ","sports"
"182","Sunderland clinched promotion to the top flight of the Women's Super League on Sunday ","sports"
"183","Man United 1 Chelsea 1 (FT) – Robin van Persie’s late goal cancels out Didier Drogba’s opener ","sports"
"184","Man United 1 Chelsea 1 – Robin van Persie scores an injury time equaliser #MUFCvsCFC #MANCHE","sports"
"185","Roger Federer has taken a step closer to becoming world number one after another title ","sports"
"186","Read more on the amazing #DETvsATL @NFL thriller at Wembley Stadium ","sports"
"187","15 minutes left and Didier Drogba’s goal still separates the teams. Follow live #MUFCvsCFC ","sports"
"188","Detroit Lions complete dramatic second-half comeback to beat the Atlanta Falcons 22-21 ","sports"
"189","John Higgins has suffered a surprise 6-1 first-round defeat to Li Hang in China ","sports"
"190","Andy Murray takes the Valencia Open final into third set after saving match points. Follow now ","sports"
"191","Manchester United 0 Chelsea 1 – Didier Drogba gives his side the lead moments after Eden Hazard’s miss ","sports"
"192","Video: Alan Pardew credits #nufc’s players for their ""belief"" and ""fight"" against Spurs ","sports"
"193","Watch Spurs manager Mauricio Pochettino give his reaction to Sammy Ameobi’s “crazy goal” ","sports"
"194","Manchester United 0 Chelsea 0 (HT) – Share your views on the Old Trafford action #bbcfootball ","sports"
"195","Find out what Greg Dyke had to say about the future of Fifa president Sepp Blatter ","sports"
"196","Watch Everton boss Roberto Martinez reflect on a ""special week” for his club ","sports"
"197","This is what your match statistics look like when you win 8-0 away from home. See more ","sports"
"198","Juventus kept up their unbeaten start in Serie A with victory over lowly Palermo ","sports"
"199","They may have only had a third of possession but check out how #nufc won 2-1 at Spurs ","sports"
"200","Andy Murray loses the opening set in the Valencia Open final to Tommy Robredo. Follow live ","sports"
"201","Who is going to be the key player at Old Trafford today? Follow live #bbcfootball ","sports"
"202","Newcastle secured their first away win of the season after coming from a goal down ","sports"
"203","Samuel Eto’o helped Everton secure consecutive league wins for the first time since April ","sports"
"204","@JnaHitch You can follow live coverage at ","sports"
